ORDERNUMBER,ORDERLINENUMBER,ORDERDATE,STATUS,QUANTITYORDERED,PRICEEACH,ClientsID,PRODUCTCODE
10110,5,2018-03-18,Shipped,48,34.47,CUS10012,S24_3969
10110,6,2018-03-18,Shipped,32,50.25,CUS10012,S18_2248
10110,7,2018-03-18,Shipped,42,144.5,CUS10012,S18_1749
10110,8,2018-03-18,Shipped,28,89.27,CUS10012,S18_4409
10110,9,2018-03-18,Shipped,42,61.29,CUS10012,S18_4933
10110,10,2018-03-18,Shipped,46,129.18,CUS10012,S24_2887
10110,11,2018-03-18,Shipped,43,78.15,CUS10012,S24_2766
10110,12,2018-03-18,Shipped,27,73.62,CUS10012,S24_3191
10110,13,2018-03-18,Shipped,36,85.25,CUS10012,S24_1046
10110,14,2018-03-18,Shipped,37,100.66,CUS10012,S24_3432
10110,15,2018-03-18,Shipped,29,59.37,CUS10012,S24_1628
10110,16,2018-03-18,Shipped,37,146.84,CUS10012,S18_1589
10112,1,2018-03-24,Shipped,29,248.59,CUS10013,S10_1949
10112,2,2018-03-24,Shipped,23,110.43,CUS10013,S18_2949
10113,1,2018-03-26,Shipped,23,68.52,CUS10014,S32_3522
10113,2,2018-03-26,Shipped,21,162.64,CUS10014,S12_1666
10113,3,2018-03-26,Shipped,50,49.81,CUS10014,S18_4668
10113,4,2018-03-26,Shipped,49,100.34,CUS10014,S18_1097
10114,1,2018-04-01,Shipped,24,30.06,CUS10015,S24_2840
10114,2,2018-04-01,Shipped,28,55.73,CUS10015,S32_2509
10114,3,2018-04-01,Shipped,39,106.78,CUS10015,S18_2319
10114,4,2018-04-01,Shipped,48,171.03,CUS10015,S18_3232
10114,5,2018-04-01,Shipped,21,139.29,CUS10015,S24_2300
10114,6,2018-04-01,Shipped,45,68.67,CUS10015,S18_2432
10114,7,2018-04-01,Shipped,32,114.61,CUS10015,S32_1268
10114,8,2018-04-01,Shipped,31,138.88,CUS10015,S10_4962
10114,9,2018-04-01,Shipped,41,117.45,CUS10015,S18_4600
10114,10,2018-04-01,Shipped,42,113.29,CUS10015,S700_2824
10115,1,2018-04-04,Shipped,44,126.56,CUS10016,S24_4048
10115,2,2018-04-04,Shipped,47,69.36,CUS10016,S24_1444
10115,3,2018-04-04,Shipped,27,105.33,CUS10016,S50_1392
10115,4,2018-04-04,Shipped,46,160.46,CUS10016,S18_2238
10115,5,2018-04-04,Shipped,46,124.43,CUS10016,S12_4473
10116,1,2018-04-11,Shipped,27,63.38,CUS10017,S32_3207
10117,1,2018-04-16,Shipped,45,83.42,CUS10018,S700_3962
10117,2,2018-04-16,Shipped,50,43.68,CUS10018,S72_3212
10117,3,2018-04-16,Shipped,41,126.58,CUS10018,S24_2011
10117,4,2018-04-16,Shipped,23,97.42,CUS10018,S18_4522
10117,5,2018-04-16,Shipped,26,136.59,CUS10018,S18_3140
10117,6,2018-04-16,Shipped,38,79.68,CUS10018,S700_1938
10117,7,2018-04-16,Shipped,21,95.8,CUS10018,S18_3259
10117,8,2018-04-16,Shipped,39,152.26,CUS10018,S12_3891
10117,9,2018-04-16,Shipped,33,182.86,CUS10018,S12_1108
10117,10,2018-04-16,Shipped,43,137.48,CUS10018,S12_3148
10117,11,2018-04-16,Shipped,21,49.21,CUS10018,S50_1514
10117,12,2018-04-16,Shipped,22,126.39,CUS10018,S18_4027
10118,1,2018-04-21,Shipped,36,117.2,CUS10019,S700_3505
10119,1,2018-04-28,Shipped,26,59.22,CUS10020,S700_4002
10119,2,2018-04-28,Shipped,28,70.29,CUS10020,S24_3949
10119,3,2018-04-28,Shipped,43,160.84,CUS10020,S18_1662
10119,4,2018-04-28,Shipped,41,59.6,CUS10020,S24_2841
10119,5,2018-04-28,Shipped,20,72.98,CUS10020,S24_3420
10119,6,2018-04-28,Shipped,28,48.17,CUS10020,S72_1253
10119,7,2018-04-28,Shipped,29,94.14,CUS10020,S700_2047
10119,8,2018-04-28,Shipped,27,99.52,CUS10020,S18_3856
10119,9,2018-04-28,Shipped,21,89.46,CUS10020,S18_3029
10119,10,2018-04-28,Shipped,35,90.57,CUS10020,S24_3816
10119,11,2018-04-28,Shipped,46,108.8,CUS10020,S10_4757
10119,12,2018-04-28,Shipped,38,65.77,CUS10020,S700_2610
10119,13,2018-04-28,Shipped,35,87.62,CUS10020,S24_3151
10119,14,2018-04-28,Shipped,25,76.67,CUS10020,S700_1138
10120,3,2018-04-29,Shipped,29,96.34,CUS10021,S10_2016
10120,4,2018-04-29,Shipped,46,58.15,CUS10021,S18_2625
10120,5,2018-04-29,Shipped,34,83.79,CUS10021,S24_2000
10120,6,2018-04-29,Shipped,22,111.88,CUS10021,S32_1374
10120,7,2018-04-29,Shipped,24,142.38,CUS10021,S700_2834
10120,8,2018-04-29,Shipped,29,71.81,CUS10021,S18_2581
10120,9,2018-04-29,Shipped,29,85.49,CUS10021,S24_4278
10120,10,2018-04-29,Shipped,39,119.27,CUS10021,S24_1785
10120,11,2018-04-29,Shipped,29,72.23,CUS10021,S32_4289
10120,12,2018-04-29,Shipped,49,50.62,CUS10021,S50_1341
10120,13,2018-04-29,Shipped,47,82.21,CUS10021,S700_1691
10120,14,2018-04-29,Shipped,43,76,CUS10021,S700_3167
10120,15,2018-04-29,Shipped,24,107.7,CUS10021,S700_2466
10120,1,2018-04-29,Shipped,35,98.05,CUS10021,S24_1578
10120,2,2018-04-29,Shipped,46,201.41,CUS10021,S10_4698
10121,1,2018-05-07,Shipped,44,74.85,CUS10022,S50_4713
10121,2,2018-05-07,Shipped,32,76.88,CUS10022,S24_2360
10121,3,2018-05-07,Shipped,25,86.74,CUS10022,S32_4485
10121,4,2018-05-07,Shipped,50,165.68,CUS10022,S12_2823
10121,5,2018-05-07,Shipped,34,81.35,CUS10022,S10_1678
10122,1,2018-05-08,Shipped,31,132.29,CUS10023,S18_1984
10122,2,2018-05-08,Shipped,34,147.2,CUS10023,S18_1129
10122,3,2018-05-08,Shipped,25,143.94,CUS10023,S18_3232
10122,4,2018-05-08,Shipped,39,30.96,CUS10023,S24_2972
10122,5,2018-05-08,Shipped,43,127.79,CUS10023,S24_3856
10122,6,2018-05-08,Shipped,43,72.38,CUS10023,S18_1889
10122,7,2018-05-08,Shipped,20,107.1,CUS10023,S12_4675
10122,8,2018-05-08,Shipped,37,99.82,CUS10023,S12_3380
10122,9,2018-05-08,Shipped,34,50.21,CUS10023,S24_3371
10122,10,2018-05-08,Shipped,42,180.95,CUS10023,S12_1099
10122,11,2018-05-08,Shipped,32,63.84,CUS10023,S12_3990
10122,12,2018-05-08,Shipped,21,117.59,CUS10023,S18_3482
10122,13,2018-05-08,Shipped,21,73.17,CUS10023,S18_3278
10122,14,2018-05-08,Shipped,29,71.14,CUS10023,S24_4620
10122,15,2018-05-08,Shipped,28,127.97,CUS10023,S18_4721
10122,16,2018-05-08,Shipped,35,49.74,CUS10023,S18_3782
10122,17,2018-05-08,Shipped,31,44.66,CUS10023,S32_2206
10123,1,2018-05-20,Shipped,50,59.87,CUS10024,S24_1628
10123,2,2018-05-20,Shipped,26,118.22,CUS10024,S18_1589
10123,3,2018-05-20,Shipped,46,112.2,CUS10024,S18_2870
10123,4,2018-05-20,Shipped,34,156.82,CUS10024,S18_3685
10124,1,2018-05-21,Shipped,22,45.25,CUS10025,S24_2022
10124,2,2018-05-21,Shipped,45,37.84,CUS10025,S24_1937
10124,3,2018-05-21,Shipped,42,105.52,CUS10025,S18_2325
10124,4,2018-05-21,Shipped,46,33.23,CUS10025,S24_3969
10124,5,2018-05-21,Shipped,42,53.88,CUS10025,S18_2248
10124,6,2018-05-21,Shipped,21,136,CUS10025,S18_1749
10124,7,2018-05-21,Shipped,36,85.59,CUS10025,S18_4409
10124,8,2018-05-21,Shipped,23,57.73,CUS10025,S18_4933
10124,9,2018-05-21,Shipped,25,93.95,CUS10025,S24_2887
10124,10,2018-05-21,Shipped,32,72.7,CUS10025,S24_2766
10124,11,2018-05-21,Shipped,49,83.04,CUS10025,S24_3191
10124,12,2018-05-21,Shipped,22,77.9,CUS10025,S24_1046
10124,13,2018-05-21,Shipped,43,121,CUS10025,S24_3432
10125,1,2018-05-21,Shipped,32,101.71,CUS10021,S18_1342
10125,2,2018-05-21,Shipped,34,190.69,CUS10021,S18_2795
10126,1,2018-05-28,Shipped,27,126.51,CUS10026,S24_2300
10126,2,2018-05-28,Shipped,43,65.02,CUS10026,S18_2432
10126,3,2018-05-28,Shipped,43,96.31,CUS10026,S32_1268
10126,4,2018-05-28,Shipped,22,152.17,CUS10026,S10_4962
10126,5,2018-05-28,Shipped,50,141.66,CUS10026,S18_4600
10126,6,2018-05-28,Shipped,45,102.16,CUS10026,S700_2824
10126,7,2018-05-28,Shipped,26,62.7,CUS10026,S32_3522
10126,8,2018-05-28,Shipped,21,116.17,CUS10026,S12_1666
10126,9,2018-05-28,Shipped,43,53.83,CUS10026,S18_4668
10126,10,2018-05-28,Shipped,38,101.5,CUS10026,S18_1097
10126,11,2018-05-28,Shipped,38,192.87,CUS10026,S10_1949
10126,12,2018-05-28,Shipped,31,90.17,CUS10026,S18_2949
10126,13,2018-05-28,Shipped,30,97.39,CUS10026,S18_3136
10126,14,2018-05-28,Shipped,46,73.7,CUS10026,S18_2957
10126,15,2018-05-28,Shipped,34,105.18,CUS10026,S24_4258
10126,16,2018-05-28,Shipped,38,82.34,CUS10026,S18_3320
10126,17,2018-05-28,Shipped,42,54.99,CUS10026,S18_1367
10127,1,2018-06-03,Shipped,42,193.78,CUS10027,S12_3891
10127,2,2018-06-03,Shipped,46,245.2,CUS10027,S12_1108
10127,3,2018-06-03,Shipped,46,160.14,CUS10027,S12_3148
10127,4,2018-06-03,Shipped,46,69.12,CUS10027,S50_1514
10127,5,2018-06-03,Shipped,25,137.88,CUS10027,S18_4027
10127,6,2018-06-03,Shipped,29,70.84,CUS10027,S32_3207
10127,7,2018-06-03,Shipped,20,96.99,CUS10027,S24_4048
10127,8,2018-06-03,Shipped,20,60.69,CUS10027,S24_1444
10127,9,2018-06-03,Shipped,46,134.27,CUS10027,S50_1392
10127,10,2018-06-03,Shipped,45,158.82,CUS10027,S18_2238
10127,11,2018-06-03,Shipped,24,106.65,CUS10027,S12_4473
10127,12,2018-06-03,Shipped,39,38.19,CUS10027,S24_2840
10127,13,2018-06-03,Shipped,45,51.95,CUS10027,S32_2509
10127,14,2018-06-03,Shipped,45,139.91,CUS10027,S18_2319
10127,15,2018-06-03,Shipped,22,174.42,CUS10027,S18_3232
10128,1,2018-06-06,Shipped,43,92.16,CUS1006,S18_4522
10128,2,2018-06-06,Shipped,41,135.22,CUS1006,S18_3140
10128,3,2018-06-06,Shipped,32,97,CUS1006,S700_1938
10128,4,2018-06-06,Shipped,41,117.98,CUS1006,S18_3259
10129,1,2018-06-12,Shipped,50,77.99,CUS10028,S24_3816
10129,2,2018-06-12,Shipped,33,133.28,CUS10028,S10_4757
10129,3,2018-06-12,Shipped,45,85.29,CUS10028,S700_2610
10129,4,2018-06-12,Shipped,41,94.71,CUS10028,S24_3151
10129,5,2018-06-12,Shipped,31,60,CUS10028,S700_1138
10129,6,2018-06-12,Shipped,42,91.15,CUS10028,S700_3505
10129,7,2018-06-12,Shipped,30,85.41,CUS10028,S700_3962
10129,8,2018-06-12,Shipped,32,64.97,CUS10028,S72_3212
10129,9,2018-06-12,Shipped,45,133.95,CUS10028,S24_2011
10130,1,2018-06-16,Shipped,33,103.75,CUS10029,S18_3856
10130,2,2018-06-16,Shipped,40,96.34,CUS10029,S18_3029
10131,1,2018-06-16,Shipped,40,110.69,CUS10030,S700_2466
10131,2,2018-06-16,Shipped,26,85.13,CUS10030,S700_4002
10131,3,2018-06-16,Shipped,50,81.89,CUS10030,S24_3949
10131,4,2018-06-16,Shipped,21,132.46,CUS10030,S18_1662
10131,5,2018-06-16,Shipped,35,67.14,CUS10030,S24_2841
10131,6,2018-06-16,Shipped,29,59.18,CUS10030,S24_3420
10131,7,2018-06-16,Shipped,21,41.71,CUS10030,S72_1253
10131,8,2018-06-16,Shipped,22,85.99,CUS10030,S700_2047
10133,1,2018-06-27,Shipped,23,114.87,CUS1006,S32_1374
10133,2,2018-06-27,Shipped,27,99.67,CUS1006,S700_2834
10133,3,2018-06-27,Shipped,49,69.27,CUS1006,S18_2581
10133,4,2018-06-27,Shipped,46,77.52,CUS1006,S24_4278
10133,5,2018-06-27,Shipped,41,94.1,CUS1006,S24_1785
10133,6,2018-06-27,Shipped,49,57.1,CUS1006,S32_4289
10133,7,2018-06-27,Shipped,27,50.19,CUS1006,S50_1341
10133,8,2018-06-27,Shipped,24,77.64,CUS1006,S700_1691
10134,1,2018-07-01,Shipped,20,135.56,CUS10031,S12_2823
10134,2,2018-07-01,Shipped,41,94.74,CUS10031,S10_1678
10134,3,2018-07-01,Shipped,35,93.54,CUS10031,S24_1578
10134,4,2018-07-01,Shipped,31,226.58,CUS10031,S10_4698
10134,5,2018-07-01,Shipped,27,122.51,CUS10031,S10_2016
10134,6,2018-07-01,Shipped,30,61.78,CUS10031,S18_2625
10134,7,2018-07-01,Shipped,43,83.03,CUS10031,S24_2000
10135,1,2018-07-02,Shipped,20,35.87,CUS10014,S24_2972
10135,2,2018-07-02,Shipped,47,134.81,CUS10014,S24_3856
10135,3,2018-07-02,Shipped,48,79.31,CUS10014,S18_1889
10135,4,2018-07-02,Shipped,29,97.89,CUS10014,S12_4675
10135,5,2018-07-02,Shipped,48,125.66,CUS10014,S12_3380
10135,6,2018-07-02,Shipped,27,66.13,CUS10014,S24_3371
10135,7,2018-07-02,Shipped,42,190.68,CUS10014,S12_1099
10135,8,2018-07-02,Shipped,24,75.01,CUS10014,S12_3990
10135,9,2018-07-02,Shipped,42,129.35,CUS10014,S18_3482
10135,10,2018-07-02,Shipped,45,78,CUS10014,S18_3278
10135,11,2018-07-02,Shipped,23,87.31,CUS10014,S24_4620
10135,12,2018-07-02,Shipped,31,151.78,CUS10014,S18_4721
10135,13,2018-07-02,Shipped,45,50.36,CUS10014,S18_3782
10135,14,2018-07-02,Shipped,33,40.23,CUS10014,S32_2206
10135,15,2018-07-02,Shipped,44,96,CUS10014,S50_4713
10135,16,2018-07-02,Shipped,29,61.64,CUS10014,S24_2360
10135,17,2018-07-02,Shipped,30,89.8,CUS10014,S32_4485
10136,1,2018-07-04,Shipped,36,146.52,CUS10032,S18_1984
10136,2,2018-07-04,Shipped,25,145.79,CUS10032,S18_1129
10136,3,2018-07-04,Shipped,41,203.21,CUS10032,S18_3232
10137,1,2018-07-10,Shipped,26,49.81,CUS10022,S24_1628
10137,2,2018-07-10,Shipped,44,99.55,CUS10022,S18_1589
10137,3,2018-07-10,Shipped,37,117.48,CUS10022,S18_2870
10137,4,2018-07-10,Shipped,31,165.3,CUS10022,S18_3685
10139,1,2018-07-16,Shipped,46,120.56,CUS10033,S18_2949
10139,2,2018-07-16,Shipped,20,90.06,CUS10033,S18_3136
10139,3,2018-07-16,Shipped,20,71.2,CUS10033,S18_2957
10139,4,2018-07-16,Shipped,29,112.97,CUS10033,S24_4258
10139,5,2018-07-16,Shipped,30,103.18,CUS10033,S18_3320
10139,6,2018-07-16,Shipped,49,43.13,CUS10033,S18_1367
10139,7,2018-07-16,Shipped,31,102.74,CUS10033,S18_1342
10139,8,2018-07-16,Shipped,41,194.06,CUS10033,S18_2795
10140,1,2018-07-24,Shipped,47,108.62,CUS10034,S24_2300
10140,2,2018-07-24,Shipped,46,61.99,CUS10034,S18_2432
10140,3,2018-07-24,Shipped,26,108.83,CUS10034,S32_1268
10140,4,2018-07-24,Shipped,26,122.62,CUS10034,S10_4962
10140,5,2018-07-24,Shipped,40,115.03,CUS10034,S18_4600
10140,6,2018-07-24,Shipped,36,114.3,CUS10034,S700_2824
10140,7,2018-07-24,Shipped,28,60.76,CUS10034,S32_3522
10140,8,2018-07-24,Shipped,38,127.1,CUS10034,S12_1666
10140,9,2018-07-24,Shipped,29,43.27,CUS10034,S18_4668
10140,10,2018-07-24,Shipped,32,130.67,CUS10034,S18_1097
10140,11,2018-07-24,Shipped,37,199.3,CUS10034,S10_1949
10141,1,2018-08-01,Shipped,40,94.62,CUS10035,S24_4048
10141,2,2018-08-01,Shipped,20,54.33,CUS10035,S24_1444
10141,3,2018-08-01,Shipped,44,125.01,CUS10035,S50_1392
10141,4,2018-08-01,Shipped,39,152.27,CUS10035,S18_2238
10141,5,2018-08-01,Shipped,21,101.91,CUS10035,S12_4473
10141,6,2018-08-01,Shipped,21,42.43,CUS10035,S24_2840
10141,7,2018-08-01,Shipped,24,45.99,CUS10035,S32_2509
10141,8,2018-08-01,Shipped,47,133.78,CUS10035,S18_2319
10141,9,2018-08-01,Shipped,34,142.25,CUS10035,S18_3232
10142,1,2018-08-08,Shipped,49,98.25,CUS10014,S24_3151
10142,2,2018-08-08,Shipped,41,64,CUS10014,S700_1138
10142,3,2018-08-08,Shipped,21,111.19,CUS10014,S700_3505
10142,4,2018-08-08,Shipped,38,85.41,CUS10014,S700_3962
10142,5,2018-08-08,Shipped,39,44.23,CUS10014,S72_3212
10142,6,2018-08-08,Shipped,33,102,CUS10014,S24_2011
10142,7,2018-08-08,Shipped,24,70.22,CUS10014,S18_4522
10142,8,2018-08-08,Shipped,47,128.39,CUS10014,S18_3140
10142,9,2018-08-08,Shipped,43,84.01,CUS10014,S700_1938
10142,10,2018-08-08,Shipped,22,97.81,CUS10014,S18_3259
10142,11,2018-08-08,Shipped,46,205.89,CUS10014,S12_3891
10142,12,2018-08-08,Shipped,33,243.13,CUS10014,S12_1108
10142,13,2018-08-08,Shipped,33,151.08,CUS10014,S12_3148
10142,14,2018-08-08,Shipped,42,49.79,CUS10014,S50_1514
10142,15,2018-08-08,Shipped,24,157.98,CUS10014,S18_4027
10142,16,2018-08-08,Shipped,42,74.57,CUS10014,S32_3207
10143,1,2018-08-10,Shipped,34,36.66,CUS10036,S50_1341
10143,2,2018-08-10,Shipped,36,109.61,CUS10036,S700_1691
10143,3,2018-08-10,Shipped,28,96,CUS10036,S700_3167
10143,4,2018-08-10,Shipped,26,82.77,CUS10036,S700_2466
10143,5,2018-08-10,Shipped,34,85.87,CUS10036,S700_4002
10143,6,2018-08-10,Shipped,28,66.19,CUS10036,S24_3949
10143,7,2018-08-10,Shipped,32,164,CUS10036,S18_1662
10143,8,2018-08-10,Shipped,27,60.97,CUS10036,S24_2841
10143,9,2018-08-10,Shipped,33,77.59,CUS10036,S24_3420
10143,10,2018-08-10,Shipped,37,50.65,CUS10036,S72_1253
10143,11,2018-08-10,Shipped,26,100.48,CUS10036,S700_2047
10143,12,2018-08-10,Shipped,34,101.64,CUS10036,S18_3856
10143,13,2018-08-10,Shipped,46,74.84,CUS10036,S18_3029
10143,14,2018-08-10,Shipped,23,80.51,CUS10036,S24_3816
10143,15,2018-08-10,Shipped,49,114.24,CUS10036,S10_4757
10143,16,2018-08-10,Shipped,31,85.29,CUS10036,S700_2610
10144,1,2018-08-13,Shipped,20,81.86,CUS10017,S32_4289
10145,1,2018-08-25,Shipped,31,35.8,CUS10037,S32_2206
10145,2,2018-08-25,Shipped,38,81.36,CUS10037,S50_4713
10145,3,2018-08-25,Shipped,27,60.95,CUS10037,S24_2360
10145,4,2018-08-25,Shipped,27,120.42,CUS10037,S32_4485
10145,5,2018-08-25,Shipped,49,170.2,CUS10037,S12_2823
10145,6,2018-08-25,Shipped,45,83.26,CUS10037,S10_1678
10145,7,2018-08-25,Shipped,43,95.8,CUS10037,S24_1578
10145,8,2018-08-25,Shipped,33,156.86,CUS10037,S10_4698
10145,9,2018-08-25,Shipped,37,140.35,CUS10037,S10_2016
10145,10,2018-08-25,Shipped,30,49.67,CUS10037,S18_2625
10145,11,2018-08-25,Shipped,47,83.03,CUS10037,S24_2000
10145,12,2018-08-25,Shipped,33,93.9,CUS10037,S32_1374
10145,13,2018-08-25,Shipped,20,137.63,CUS10037,S700_2834
10145,14,2018-08-25,Shipped,30,85.32,CUS10037,S18_2581
10145,15,2018-08-25,Shipped,33,84.77,CUS10037,S24_4278
10145,16,2018-08-25,Shipped,40,87.54,CUS10037,S24_1785
10146,1,2018-09-03,Shipped,29,153.26,CUS10030,S18_4721
10146,2,2018-09-03,Shipped,47,67.14,CUS10030,S18_3782
